"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"dfrA1",99.79,"474/474",100,"1..474","JBICFJ010000088.1 Escherichia coli strain 43270 contig00088, whole genome shotgun sequence","6831..7304","Trimethoprim","AF203818","GCA_045953775.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFJ010000088.1 Escherichia coli strain 43270 contig00088, whole genome shotgun sequence","6831..7304","Trimethoprim","AJ238350","GCA_045953775.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFJ010000088.1 Escherichia coli strain 43270 contig00088, whole genome shotgun sequence","6831..7304","Trimethoprim","X00926","GCA_045953775.1"
"dfrA8",100,"510/510",100,"1..510","JBICFJ010000143.1 Escherichia coli strain 43270 contig00143, whole genome shotgun sequence","737..1246","Trimethoprim","U10186","GCA_045953775.1"
"aadA1",99.75,"792/792",100,"1..792","JBICFM010000051.1 Escherichia coli strain 43199 contig00051, whole genome shotgun sequence","3162..3953","Spectinomycin, Streptomycin","JX185132","GCA_045953815.1"
"aadA1",99.75,"792/792",100,"1..792","JBICFM010000051.1 Escherichia coli strain 43199 contig00051, whole genome shotgun sequence","3162..3953","Spectinomycin, Streptomycin","JQ414041","GCA_045953815.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","2872..3708","Streptomycin","M28829","GCA_045953815.1"
"aph(3')-Ia",99.88,"816/816",100,"1..816","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","1721..2536","Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Kanamycin, Neomycin","EF015636","GCA_045953815.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","3708..4510","Streptomycin","AF024602","GCA_045953815.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","3708..4511","Streptomycin","AF321551","GCA_045953815.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","3708..4511","Streptomycin","AF313472","GCA_045953815.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFM010000082.1 Escherichia coli strain 43199 contig00082, whole genome shotgun sequence","3708..4511","Streptomycin","AF321550","GCA_045953815.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICFM010000091.1 Escherichia coli strain 43199 contig00091, whole genome shotgun sequence","1167..2192","Hygromycin","V01499","GCA_045953815.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICFM010000091.1 Escherichia coli strain 43199 contig00091, whole genome shotgun sequence","162..938","Gentamicin, Tobramycin","DQ241380","GCA_045953815.1"
"blaTEM-33",100,"861/861",100,"1..861","JBICFM010000086.1 Escherichia coli strain 43199 contig00086, whole genome shotgun sequence","325..1185","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","GU371926","GCA_045953815.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFM010000094.1 Escherichia coli strain 43199 contig00094, whole genome shotgun sequence","295..1920","Colistin","KP347127","GCA_045953815.1"
"mph(B)",100,"909/909",100,"1..909","JBICFM010000051.1 Escherichia coli strain 43199 contig00051, whole genome shotgun sequence","13029..13937","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045953815.1"
"catA1",99.85,"660/660",100,"1..660","JBICFM010000101.1 Escherichia coli strain 43199 contig00101, whole genome shotgun sequence","334..993","Chloramphenicol","V00622","GCA_045953815.1"
"sul1",100,"840/840",100,"1..840","JBICFM010000051.1 Escherichia coli strain 43199 contig00051, whole genome shotgun sequence","4458..5297","Sulfamethoxazole","U12338","GCA_045953815.1"
"sul2",100,"816/816",100,"1..816","JBICFM010000095.1 Escherichia coli strain 43199 contig00095, whole genome shotgun sequence","1768..2583","Sulfamethoxazole","AY034138","GCA_045953815.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICFM010000068.1 Escherichia coli strain 43199 contig00068, whole genome shotgun sequence","4550..5755","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045953815.1"
"dfrA1",100,"474/474",100,"1..474","JBICFM010000051.1 Escherichia coli strain 43199 contig00051, whole genome shotgun sequence","2596..3069","Trimethoprim","X00926","GCA_045953815.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","10477..11337","Gentamicin, Tobramycin, Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","X51534","GCA_045953835.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","2569..3405","Streptomycin","M28829","GCA_045953835.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","11770..12585","Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside","X62115","GCA_045953835.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","3405..4207","Streptomycin","AF024602","GCA_045953835.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","3405..4208","Streptomycin","AF321551","GCA_045953835.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","3405..4208","Streptomycin","AF313472","GCA_045953835.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFN010000068.1 Escherichia coli strain 43197 contig00068, whole genome shotgun sequence","3405..4208","Streptomycin","AF321550","GCA_045953835.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICFN010000152.1 Escherichia coli strain 43197 contig00152, whole genome shotgun sequence","140..673","Gentamicin, Tobramycin","X04555","GCA_045953835.1"
"aadA1",100,"722/792",91.1616161616162,"1..722","JBICFN010000167.1 Escherichia coli strain 43197 contig00167, whole genome shotgun sequence","1..722","Spectinomycin, Streptomycin","JQ414041","GCA_045953835.1"
"blaCTX-M-14",100,"876/876",100,"1..876","JBICFN010000021.1 Escherichia coli strain 43197 contig00021, whole genome shotgun sequence","77358..78233","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AF252622","GCA_045953835.1"
"blaTEM-168",99.72,"716/861",83.1591173054588,"1..716","JBICFN010000130.1 Escherichia coli strain 43197 contig00130, whole genome shotgun sequence","1..716","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","FJ919776","GCA_045953835.1"
"blaTEM-54",99.72,"716/861",83.1591173054588,"1..716","JBICFN010000130.1 Escherichia coli strain 43197 contig00130, whole genome shotgun sequence","1..716","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AF104442","GCA_045953835.1"
"blaTEM-1A",99.72,"716/861",83.1591173054588,"1..716","JBICFN010000130.1 Escherichia coli strain 43197 contig00130, whole genome shotgun sequence","1..716","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","HM749966","GCA_045953835.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFN010000108.1 Escherichia coli strain 43197 contig00108, whole genome shotgun sequence","295..1920","Colistin","KP347127","GCA_045953835.1"
"mph(B)",100,"909/909",100,"1..909","JBICFN010000083.1 Escherichia coli strain 43197 contig00083, whole genome shotgun sequence","4637..5545","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045953835.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICFN010000105.1 Escherichia coli strain 43197 contig00105, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045953835.1"
"catA1",99.85,"660/660",100,"1..660","JBICFN010000124.1 Escherichia coli strain 43197 contig00124, whole genome shotgun sequence","722..1381","Chloramphenicol","V00622","GCA_045953835.1"
"sul2",100,"816/816",100,"1..816","JBICFN010000067.1 Escherichia coli strain 43197 contig00067, whole genome shotgun sequence","2121..2936","Sulfamethoxazole","AY034138","GCA_045953835.1"
"sul1",100,"840/840",100,"1..840","JBICFN010000127.1 Escherichia coli strain 43197 contig00127, whole genome shotgun sequence","491..1330","Sulfamethoxazole","U12338","GCA_045953835.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICFN010000094.1 Escherichia coli strain 43197 contig00094, whole genome shotgun sequence","1560..2759","Doxycycline, Tetracycline","AJ517790","GCA_045953835.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICFN010000104.1 Escherichia coli strain 43197 contig00104, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045953835.1"
"dfrA36",100,"588/588",100,"1..588","JBICFN010000067.1 Escherichia coli strain 43197 contig00067, whole genome shotgun sequence","1157..1744","Trimethoprim","CP038791","GCA_045953835.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFN010000159.1 Escherichia coli strain 43197 contig00159, whole genome shotgun sequence","128..601","Trimethoprim","AF203818","GCA_045953835.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFN010000159.1 Escherichia coli strain 43197 contig00159, whole genome shotgun sequence","128..601","Trimethoprim","AJ238350","GCA_045953835.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFN010000159.1 Escherichia coli strain 43197 contig00159, whole genome shotgun sequence","128..601","Trimethoprim","X00926","GCA_045953835.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICFL010000070.1 Escherichia coli strain 43200 contig00070, whole genome shotgun sequence","1732..2592","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin, Gentamicin, Tobramycin","X51534","GCA_045953855.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICFL010000070.1 Escherichia coli strain 43200 contig00070, whole genome shotgun sequence","484..1299","Kanamycin, Neomycin, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside","X62115","GCA_045953855.1"
"aadA1",99.87,"781/792",98.6111111111111,"12..792","JBICFL010000105.1 Escherichia coli strain 43200 contig00105, whole genome shotgun sequence","1..781","Spectinomycin, Streptomycin","JX185132","GCA_045953855.1"
"aadA1",99.87,"781/792",98.6111111111111,"12..792","JBICFL010000105.1 Escherichia coli strain 43200 contig00105, whole genome shotgun sequence","1..781","Spectinomycin, Streptomycin","JQ414041","GCA_045953855.1"
"ant(3'')-Ia",99.87,"781/972",80.3497942386831,"192..972","JBICFL010000105.1 Escherichia coli strain 43200 contig00105, whole genome shotgun sequence","1..781","Streptomycin","X02340","GCA_045953855.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICFL010000092.1 Escherichia coli strain 43200 contig00092, whole genome shotgun sequence","235..1065","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045953855.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFL010000051.1 Escherichia coli strain 43200 contig00051, whole genome shotgun sequence","4043..5668","Colistin","KP347127","GCA_045953855.1"
"mph(B)",100,"909/909",100,"1..909","JBICFL010000052.1 Escherichia coli strain 43200 contig00052, whole genome shotgun sequence","9127..10035","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045953855.1"
"FloR",99.75,"1215/1215",100,"1..1215","JBICFL010000080.1 Escherichia coli strain 43200 contig00080, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045953855.1"
"catA1",99.85,"660/660",100,"1..660","JBICFL010000088.1 Escherichia coli strain 43200 contig00088, whole genome shotgun sequence","343..1002","Chloramphenicol","V00622","GCA_045953855.1"
"sul1",100,"840/840",100,"1..840","JBICFL010000052.1 Escherichia coli strain 43200 contig00052, whole genome shotgun sequence","556..1395","Sulfamethoxazole","U12338","GCA_045953855.1"
"sul2",100,"816/816",100,"1..816","JBICFL010000058.1 Escherichia coli strain 43200 contig00058, whole genome shotgun sequence","2121..2936","Sulfamethoxazole","AY034138","GCA_045953855.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICFL010000065.1 Escherichia coli strain 43200 contig00065, whole genome shotgun sequence","1906..3105","Doxycycline, Tetracycline","AJ517790","GCA_045953855.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICFL010000078.1 Escherichia coli strain 43200 contig00078, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045953855.1"
"dfrA1",100,"474/474",100,"1..474","JBICFL010000020.1 Escherichia coli strain 43200 contig00020, whole genome shotgun sequence","79310..79783","Trimethoprim","X00926","GCA_045953855.1"
"dfrA36",100,"588/588",100,"1..588","JBICFL010000058.1 Escherichia coli strain 43200 contig00058, whole genome shotgun sequence","1157..1744","Trimethoprim","CP038791","GCA_045953855.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICFO010000074.1 Escherichia coli strain 43196 contig00074, whole genome shotgun sequence","4070..4906","Streptomycin","M28829","GCA_045953915.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICFO010000074.1 Escherichia coli strain 43196 contig00074, whole genome shotgun sequence","3268..4070","Streptomycin","AF024602","GCA_045953915.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFO010000074.1 Escherichia coli strain 43196 contig00074, whole genome shotgun sequence","3267..4070","Streptomycin","AF321551","GCA_045953915.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFO010000074.1 Escherichia coli strain 43196 contig00074, whole genome shotgun sequence","3267..4070","Streptomycin","AF313472","GCA_045953915.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFO010000074.1 Escherichia coli strain 43196 contig00074, whole genome shotgun sequence","3267..4070","Streptomycin","AF321550","GCA_045953915.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICFO010000122.1 Escherichia coli strain 43196 contig00122, whole genome shotgun sequence","484..1299","Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Kanamycin","X62115","GCA_045953915.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICFO010000138.1 Escherichia coli strain 43196 contig00138, whole genome shotgun sequence","246..779","Gentamicin, Tobramycin","X04555","GCA_045953915.1"
"aadA1",100,"711/792",89.7727272727273,"12..722","JBICFO010000150.1 Escherichia coli strain 43196 contig00150, whole genome shotgun sequence","1..711","Spectinomycin, Streptomycin","JQ414041","GCA_045953915.1"
"ant(3'')-Ia",100,"711/972",73.1481481481482,"192..902","JBICFO010000150.1 Escherichia coli strain 43196 contig00150, whole genome shotgun sequence","1..711","Streptomycin","X02340","GCA_045953915.1"
"blaTEM-190",100,"861/861",100,"1..861","JBICFO010000076.1 Escherichia coli strain 43196 contig00076, whole genome shotgun sequence","6012..6872","Unknown Beta-lactam","JN416112","GCA_045953915.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICFO010000126.1 Escherichia coli strain 43196 contig00126, whole genome shotgun sequence","235..1065","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045953915.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFO010000097.1 Escherichia coli strain 43196 contig00097, whole genome shotgun sequence","908..2533","Colistin","KP347127","GCA_045953915.1"
"mph(B)",100,"909/909",100,"1..909","JBICFO010000075.1 Escherichia coli strain 43196 contig00075, whole genome shotgun sequence","1865..2773","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045953915.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICFO010000094.1 Escherichia coli strain 43196 contig00094, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045953915.1"
"catA1",99.85,"660/660",100,"1..660","JBICFO010000117.1 Escherichia coli strain 43196 contig00117, whole genome shotgun sequence","722..1381","Chloramphenicol","V00622","GCA_045953915.1"
"sul2",100,"816/816",100,"1..816","JBICFO010000068.1 Escherichia coli strain 43196 contig00068, whole genome shotgun sequence","2121..2936","Sulfamethoxazole","AY034138","GCA_045953915.1"
"sul1",100,"840/840",100,"1..840","JBICFO010000120.1 Escherichia coli strain 43196 contig00120, whole genome shotgun sequence","356..1195","Sulfamethoxazole","U12338","GCA_045953915.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICFO010000085.1 Escherichia coli strain 43196 contig00085, whole genome shotgun sequence","1560..2759","Doxycycline, Tetracycline","AJ517790","GCA_045953915.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICFO010000093.1 Escherichia coli strain 43196 contig00093, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045953915.1"
"dfrA36",100,"588/588",100,"1..588","JBICFO010000068.1 Escherichia coli strain 43196 contig00068, whole genome shotgun sequence","1157..1744","Trimethoprim","CP038791","GCA_045953915.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFO010000144.1 Escherichia coli strain 43196 contig00144, whole genome shotgun sequence","128..601","Trimethoprim","AF203818","GCA_045953915.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFO010000144.1 Escherichia coli strain 43196 contig00144, whole genome shotgun sequence","128..601","Trimethoprim","AJ238350","GCA_045953915.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFO010000144.1 Escherichia coli strain 43196 contig00144, whole genome shotgun sequence","128..601","Trimethoprim","X00926","GCA_045953915.1"
"aadA1",100,"792/792",100,"1..792","JBICFP010000073.1 Escherichia coli strain 42736 contig00073, whole genome shotgun sequence","7272..8063","Spectinomycin, Streptomycin","JQ414041","GCA_045953995.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICFP010000073.1 Escherichia coli strain 42736 contig00073, whole genome shotgun sequence","8121..8654","Gentamicin, Tobramycin","X04555","GCA_045953995.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICFP010000122.1 Escherichia coli strain 42736 contig00122, whole genome shotgun sequence","9..845","Streptomycin","M28829","GCA_045953995.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICFP010000122.1 Escherichia coli strain 42736 contig00122, whole genome shotgun sequence","845..1647","Streptomycin","AF024602","GCA_045953995.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFP010000122.1 Escherichia coli strain 42736 contig00122, whole genome shotgun sequence","845..1648","Streptomycin","AF321551","GCA_045953995.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFP010000122.1 Escherichia coli strain 42736 contig00122, whole genome shotgun sequence","845..1648","Streptomycin","AF313472","GCA_045953995.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFP010000122.1 Escherichia coli strain 42736 contig00122, whole genome shotgun sequence","845..1648","Streptomycin","AF321550","GCA_045953995.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICFP010000130.1 Escherichia coli strain 42736 contig00130, whole genome shotgun sequence","198..1013","Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Kanamycin, Neomycin","V00359","GCA_045953995.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICFP010000118.1 Escherichia coli strain 42736 contig00118, whole genome shotgun sequence","258..1118","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045953995.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFP010000079.1 Escherichia coli strain 42736 contig00079, whole genome shotgun sequence","3555..5180","Colistin","KP347127","GCA_045953995.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICFP010000097.1 Escherichia coli strain 42736 contig00097, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045953995.1"
"sul1",100,"840/840",100,"1..840","JBICFP010000073.1 Escherichia coli strain 42736 contig00073, whole genome shotgun sequence","4548..5387","Sulfamethoxazole","U12338","GCA_045953995.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICFP010000078.1 Escherichia coli strain 42736 contig00078, whole genome shotgun sequence","6704..7903","Doxycycline, Tetracycline","AJ517790","GCA_045953995.1"
"dfrA36",100,"588/588",100,"1..588","JBICFP010000109.1 Escherichia coli strain 42736 contig00109, whole genome shotgun sequence","513..1100","Trimethoprim","CP038791","GCA_045953995.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICFR010000040.1 Escherichia coli strain 42722 contig00040, whole genome shotgun sequence","41133..41969","Streptomycin","M28829","GCA_045954015.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICFR010000040.1 Escherichia coli strain 42722 contig00040, whole genome shotgun sequence","41969..42771","Streptomycin","AF024602","GCA_045954015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFR010000040.1 Escherichia coli strain 42722 contig00040, whole genome shotgun sequence","41969..42772","Streptomycin","AF321551","GCA_045954015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFR010000040.1 Escherichia coli strain 42722 contig00040, whole genome shotgun sequence","41969..42772","Streptomycin","AF313472","GCA_045954015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICFR010000040.1 Escherichia coli strain 42722 contig00040, whole genome shotgun sequence","41969..42772","Streptomycin","AF321550","GCA_045954015.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICFR010000086.1 Escherichia coli strain 42722 contig00086, whole genome shotgun sequence","5135..5911","Gentamicin, Tobramycin","DQ241380","GCA_045954015.1"
"blaTEM-30",100,"861/861",100,"1..861","JBICFR010000096.1 Escherichia coli strain 42722 contig00096, whole genome shotgun sequence","1518..2378","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ437107","GCA_045954015.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFR010000104.1 Escherichia coli strain 42722 contig00104, whole genome shotgun sequence","296..1921","Colistin","KP347127","GCA_045954015.1"
"catA1",99.85,"660/660",100,"1..660","JBICFR010000087.1 Escherichia coli strain 42722 contig00087, whole genome shotgun sequence","4324..4983","Chloramphenicol","V00622","GCA_045954015.1"
"sul2",100,"816/816",100,"1..816","JBICFR010000062.1 Escherichia coli strain 42722 contig00062, whole genome shotgun sequence","4803..5618","Sulfamethoxazole","AY034138","GCA_045954015.1"
"tet(B)",100,"1206/1206",100,"1..1206","JBICFR010000083.1 Escherichia coli strain 42722 contig00083, whole genome shotgun sequence","4186..5391","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045954015.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICFS010000075.1 Escherichia coli strain 42721 contig00075, whole genome shotgun sequence","1167..2192","Hygromycin","V01499","GCA_045954035.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICFS010000075.1 Escherichia coli strain 42721 contig00075, whole genome shotgun sequence","162..938","Gentamicin, Tobramycin","DQ241380","GCA_045954035.1"
"aadA1",99.75,"792/792",100,"1..792","JBICFS010000084.1 Escherichia coli strain 42721 contig00084, whole genome shotgun sequence","4525..5316","Spectinomycin, Streptomycin","JX185132","GCA_045954035.1"
"aadA1",99.75,"792/792",100,"1..792","JBICFS010000084.1 Escherichia coli strain 42721 contig00084, whole genome shotgun sequence","4525..5316","Spectinomycin, Streptomycin","JQ414041","GCA_045954035.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICFS010000120.1 Escherichia coli strain 42721 contig00120, whole genome shotgun sequence","541..1356","Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Unknown Aminoglycoside","X62115","GCA_045954035.1"
"blaTEM-234",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Unknown Beta-lactam","MH243353","GCA_045954035.1"
"blaTEM-217",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Unknown Beta-lactam","HG934763","GCA_045954035.1"
"blaTEM-198",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Unknown Beta-lactam","AB700703","GCA_045954035.1"
"blaTEM-104",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Unknown Beta-lactam","AF516719","GCA_045954035.1"
"blaTEM-30",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ437107","GCA_045954035.1"
"blaTEM-1B",100,"716/861",83.1591173054588,"1..716","JBICFS010000155.1 Escherichia coli strain 42721 contig00155, whole genome shotgun sequence","1..716","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954035.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICFS010000099.1 Escherichia coli strain 42721 contig00099, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045954035.1"
"mph(B)",100,"909/909",100,"1..909","JBICFS010000079.1 Escherichia coli strain 42721 contig00079, whole genome shotgun sequence","4225..5133","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045954035.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICFS010000075.1 Escherichia coli strain 42721 contig00075, whole genome shotgun sequence","5698..6912","Chloramphenicol,Florfenicol","CP136914","GCA_045954035.1"
"catA1",99.85,"660/660",100,"1..660","JBICFS010000088.1 Escherichia coli strain 42721 contig00088, whole genome shotgun sequence","3657..4316","Chloramphenicol","V00622","GCA_045954035.1"
"sul2",100,"816/816",100,"1..816","JBICFS010000074.1 Escherichia coli strain 42721 contig00074, whole genome shotgun sequence","1246..2061","Sulfamethoxazole","AY034138","GCA_045954035.1"
"sul1",100,"840/840",100,"1..840","JBICFS010000084.1 Escherichia coli strain 42721 contig00084, whole genome shotgun sequence","3181..4020","Sulfamethoxazole","U12338","GCA_045954035.1"
"dfrA36",100,"588/588",100,"1..588","JBICFS010000074.1 Escherichia coli strain 42721 contig00074, whole genome shotgun sequence","282..869","Trimethoprim","CP038791","GCA_045954035.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFS010000162.1 Escherichia coli strain 42721 contig00162, whole genome shotgun sequence","194..667","Trimethoprim","AF203818","GCA_045954035.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICFS010000162.1 Escherichia coli strain 42721 contig00162, whole genome shotgun sequence","194..667","Trimethoprim","AJ238350","GCA_045954035.1"
